center,url
株式会社富山エクセルホテル東急,https://www.tokyuhotels.co.jp/toyama-e/index.html
株式会社ニューサンピア敦賀,http://newsunpia-tsuruga.co.jp/
株式会社アイザック・オール　利益○,https://www2.sanpainet.or.jp/zyohou/dwfileprg.php?typ=/zyohoud&dwf=/0000000008/0000007375/0000361143.pdf&rid=6183ea03ba40af4541dbd3a0d6918996
リバーリトリート雅樂倶　㈱アイザック,https://www.izak.co.jp/company/group.php
美術館・雅樂倶　とのコラボ,https://www.garaku.co.jp/art/
株式会社大津屋　オレンジBOXおおつや,https://orebo.jp/orebo-oresute/introduction-orebo/
有限会社沢端商店　米、玄米　関連,http://www.sawahata-shouten.jp/shouhin/shouhin.html
株式会社三喜有,https://super-sankyu.com/sankyu
株式会社芝寿し,https://shibazushi.jp/
株式会社髙井屋　野菜ソムリエショップスローベリイ,https://www.takaiya.com/
高田食糧株式会社　炊飯、小麦、　富山上赤江　　　△,https://www.e-takata.co.jp/
株式会社なぶーる　飲料、アイス　利益○　　２０２１、１３２４４１７千円、３４４２３千円,https://nabeul.co.jp/
株式会社ベネフレックス　高岡,https://www.benefrex.co.jp/
株式会社堀他,https://horita1878.com/
株式会社マルチョウ神戸屋　　　　アピア、ファボーレ、パスコ　惣菜、精肉小売,http://www.maruchou-koubeya.jp/
株式会社マルワフード　　　　　　食品スーパー,https://biz-maps.com/item/L4lo0JwQZv
株式会社矢郷米　　米、一般食品,http://www.yagomai.net/
大阪屋　主要販売,https://ja.wikipedia.org/wiki/%E5%A4%A7%E9%98%AA%E5%B1%8B
庄川挟、その他、射水、井波のアンテナショップ富山に出せないか？,https://toyamakan.jp/
富山県いきいき物産株式会社,https://www.ikiiki-toyama.co.jp/
北陸ファミリー百貨株式会社　　１００円ショップ運営　卸　石川,https://popia100.com/aboutus.html
食料品　製造,https://www.soumu.go.jp/main_content/000312310.pdf
株式会社アスコ　館山　利益○,https://www.asco.sala.jp/
株式会社　葵食品　水産食品,https://www.aoi-foods.co.jp/
池田食品株式会社　うずまき麩　上赤江,http://www.ike-shoku.co.jp/gaiyou.html
石川製麺株式会社,https://ishikawa-men.co.jp/
株式会社烏骨鶏,https://www.ukokkei.co.jp/
株式会社浦田甘陽堂　和菓子製造　大和、ユニー,https://www.urata-k.co.jp/company/
株式会社オーカワパン,https://okawapan.co.jp/
大畑食品株式会社　　佃煮、惣菜、菓子製造,https://oohata.jp/about/
株式会社御素麺屋　和菓子、ショートケーキ販売,https://www.osoumenya.jp/
有限会社女傳商会　かまぼこ、いか黒作り、鱒ずし,https://onnaden.co.jp/
かね七株式会社　調味料,https://kane7.co.jp/product/
加賀種食品工業株式会社,https://kagadane.co.jp/
株式会社加賀不室屋,https://www.fumuroya.co.jp/
金沢フード株式会社,https://www.isico.or.jp/noshoko-s/noshoko/ns90032.html
株式会社河内屋,https://www.kamaboko.co.jp/
株式会社幸栄堂　観光土産菓子,https://www.koeidou.co.jp/
有限会社幸伸食品　ごまどうふ,https://koshinfoods.co.jp/
株式会社小堀酒造店,https://manzairaku.co.jp/
株式会社駒屋　海苔,https://www.yauemon.com/profile/
株式会社米五　味噌、醤油,https://www.komego.com/
株式会社西海水産　いか、魚類水産,https://www.noto-saikai.jp/
株式会社三和製玉　オムレツ、鶏卵加工　富山,http://www.sanwaseigyoku.co.jp/
株式会社シーロード　飲食料加工,https://www.nikkei.com/telecom/company/4WsiYeebZzpoc9pTpeBQrG
株式会社柴舟小出　　和菓子製造販売そうざい,https://www.shibafunekoide.co.jp/
株式会社スギタニ　焼き麩、生麩、冷凍野菜,https://www.sugitani1.co.jp/
株式会社スギヨ,https://www.sugiyo.co.jp/
株式会社清華堂,http://www.seikadou.com/
ダイエー食品工業　健康食品、食品添加物、うどん、そばフランチャイズ　利益○　金沢,https://daieifood.com/company.html
有限会社高芳　ますの寿司　利益○　きまち亭運営　富山市本町,https://www.takayoshi-masuzushi.com/
竹内製菓株式会社　観光土産菓子　加賀,https://www.takeuchiseika.co.jp/
株式会社武生製麺　生そば　福井　かつ,https://takefuseimen.co.jp/
立山酒造株式会社　清酒、リキュール　砺波,https://www.sake-tateyama.com/
谷川醸造株式会社　醤油、味噌、輪島,https://tanigawa-jozo.com/
長七製麺株式会社　麺類　小矢部,https://www.choumen.co.jp/
佃食品株式会社　農水産加工品小売、　金沢,https://www.tukudani.co.jp/
株式会社トンボ飲料　富山市赤江　清涼飲料水、健康、美容飲料ゼリー製造販売,https://www.tombow-b.jp/company/outline/
桃宝食品株式会社　缶詰、びん詰め、食肉製品製造業、,https://tohosyokuhin.co.jp/
富山県ライス栄研株式会社　富山市田畑　過剰米促進,https://www.toyamagohan.co.jp/
直源醤油株式会社　しょうゆ,https://www.naogen.co.jp/
日本海味噌醤油株式会社,https://www.nihonkaimiso.co.jp/
沼田製粉株式会社　小矢部　小麦,http://www.numada-seifun.com/
バイホロン株式会社　健康食品　受託製造　富山市　南央町,https://www.biholon.co.jp/
羽二重豆腐株式会社　冷凍食品、がんも、油揚,https://frozenfoodcatalogue.com/habutae/
菱富食品工業株式会社　らっきょう、漬物惣菜　高岡,https://www.hishitomi.co.jp/nonframe/profile.htm
日の出屋製菓産業株式会社,https://www.hinodeya-seika.com/
株式会社ふじや食品　玉子どうふ　福井,https://www.fuziya-food.co.jp/
株式会社ぶった農産　野々市　農産物生産販売,https://butta.co.jp/
株式会社福光屋　金沢　清酒・物販,https://www.fukumitsuya.co.jp/
株式会社ポーラスター　冷凍加工食品製造　弁当　白山,https://polar-star.co.jp/
北陸メイトー乳業株式会社　アイスクリーム　白山,https://itp.ne.jp/info/171923937300000899/
株式会社まつ川　富山市旅篭町,https://matukawa.biz/
有限会社桝屋商店　福井,https://sasadukekyoukai.com/member/masuyasyouten/
有限会社みやけ食品　水産練製品　七尾,https://nanaokasima.jp/guide/miyakeshokuhin/
株式会社源　富山市　南央町,https://www.minamoto.co.jp/about/corporate-profile
森永北陸乳業株式会社　アイスクリーム等　福井,https://www.morinaga-hokuriku.co.jp/
ヤマサン食品工業株式会社　山菜野菜水煮食品,https://www.yamasanfood.co.jp/
安田蒲鉾株式会社　蒲鉾、揚げ物、ちくわ　福井,https://yasuda-kamaboko.com/products/
株式会社山川かまぼこ　福井　かまぼこ,https://www.yamakawa-kamaboko.com/
山元醸造株式会社　味噌　高岡,https://www.yamagen-jouzou.com/ja/
株式会社落雁諸江屋　和菓子　金沢,https://moroeya.co.jp/
若鶴酒造株式会社,https://www.wakatsuru.co.jp/
ドスパラ、PC,https://www.dospara.co.jp/
工具,https://www.monotaro.com/s/c-27/
株式会社リッチェル　プラスチック製品販売,https://www.richell.co.jp/
株式会社池田模範堂　ムヒ　上市,https://www.ikedamohando.co.jp/company/history/index.html
池田薬品工業株式会社　上市,https://ikedayakuhin.co.jp/
北日本製薬株式会社　主に漢方　上市,https://999jp.co.jp/company/index.html
救急薬品工業株式会社　医療医薬品　射水,https://www.qqp.co.jp/
協和ファーマケミカル株式会社　医薬品原料　高岡,https://www.kyowa-pharma.co.jp/
株式会社廣貫堂　富山市梅沢町　家庭用常備薬,http://www.koukandou.co.jp/
株式会社廣昌堂　家庭薬配置　射水,https://koshodo.co.jp/company/
五州薬品　ミネラルウォーター　入浴剤,https://www.goshu.co.jp/product_category/bath/
金剛化学株式会社　富山市日俣　食欲増進剤,http://www.kongo-chemical.co.jp/
ジャパンメディック株式会社　医薬品、化粧品　富山市横越,https://www.japan-medic.co.jp/
十全化学株式会社,https://www.juzen-chem.co.jp/
新新薬品工業株式会社　富山市今市,https://shinshin-yakuhin.co.jp/
新生薬品株式会社　上市町横越　一般医薬品,https://www.shinsei-yakuhin.co.jp/
ダイト株式会社　富山市八日町　医薬品原料,https://www.daitonet.co.jp/company/outline/
第一薬品工業　富山市草島　医薬品、サプリメント,https://www.d1yk.co.jp/
大協薬品工業株式会社,https://www.taikyo.co.jp/
大和薬品工業株式会社　医薬品,https://www.daiwa-pharma.co.jp/
辰巳化学株式会社　医療用医薬品,https://www.tatsumi-kagaku.com/public/info_medical/list.php
立山製薬工場株式会社,https://www.tateyama-pharma.co.jp/
中央薬品株式会社　富山市　四十物町　ズバリ　鎮痛剤,https://toyama9383.ne.jp/SHOP/zutuu000151.html
中新薬業株式会社　一般用薬品,https://www.data-index.co.jp/medsearch/otc/maker/result/?mkr_code=0536
テイカ製薬株式会社　医療用医薬品,http://teika-products.jp/mdc.html
東亜薬品株式会社　医薬品の製造販売,https://www.toayakuhin.co.jp/
富山小林製薬株式会社,https://www.toyamakobayashi.co.jp/
富山めぐみ製薬株式会社　廣貫堂・大協薬品工業、内外薬品共同　富山のくすりブランド育成目的　富山市三番町,https://www.toyamamegumi.co.jp/company/
株式会社ニッポンジーン　富山市荒川　体外診断用医薬品,https://www.nippongene.com/company/index.html
日医工株式会社　医療用医薬品,https://www.nichiiko.co.jp/medicine/
株式会社日参製薬保寿堂　　滑川　胃腸薬　かぜ薬,https://nissanseiyaku.co.jp/
日東メディック株式会社　衣料品の製造販売,https://www.nittomedic.co.jp/
日本ゼトック株式会社　化粧品、医薬部外品,https://www.zettoc.co.jp/
福寿製薬株式会社　医療用医薬品原薬　萩原,https://www.fkj.co.jp/aboutus/
富士化学工業株式会社　医薬品、添加剤　食品添加物製造販売　上市,https://www.fujichemical.co.jp/profile/
富士フイルム富山化学株式会社　医薬品,https://hc.fujifilm.com/fftc/ja/products/pharmaceuticals
前田薬品工業株式会社　新庄　一般医薬品,https://www.maeda-ph.co.jp/
明治製薬株式会社　医薬品製造　滑川市,https://meijiseiyaku.co.jp/
明治薬品株式会社　医薬品の製造販売,https://meijiyakuhin.co.jp/
株式会社陽進堂　一般用、原料、医薬品　婦中町,https://www.yoshindo.co.jp/
リードケミカル株式会社　富山市　救急絆創膏、製造,https://www.lead-chemical.co.jp/
ダンボール　パーク,https://toyamatome.com/danboru-maze/
